language	base_question	input_tokens_est_mid	response_tokens_est_mid_mean	response_tokens_est_mid_p90	response_tokens_est_mid_max	total_tokens_est_mid_mean	total_tokens_est_mid_max
FI	Q1	584	700.3	1230	1422	1284.3	2006
FI	Q2	570	598.2	994	1318	1168.2	1888
FI	Q3	578	679.3	1200.6	1506	1257.3	2084
FI	Q4	567	644	1070	1326	1211	1893
FI	Q5	560	557.5	862	898	1117.5	1458
FR	Q1	590	685.7	1068.4	1210	1275.7	1800
FR	Q2	570	607.8	947	1179	1177.8	1749
FR	Q3	586	654	1112	1166	1240	1752
FR	Q4	572	652.5	1100.8	1279	1224.5	1851
FR	Q5	565	631	1031.6	1148	1196	1713
GA	Q1	584	865	1456	1462	1449	2046
GA	Q2	570	910.2	1398.4	1501	1480.2	2071
GA	Q3	580	1033.6	1408.8	1516	1613.6	2096
GA	Q4	566	872.2	1425.4	1441	1438.2	2007
GA	Q5	569	892.3	1388.8	1690	1461.3	2259
HR	Q1	580	611.4	994	1174	1191.4	1754
HR	Q2	572	615.5	1016	1297	1187.5	1869
HR	Q3	577	616.7	1105.2	1308	1193.7	1885
HR	Q4	568	560.7	1021	1240	1128.7	1808
HR	Q5	564	543.7	900	1192	1107.7	1756
HU	Q1	582	650.7	1069.2	1125	1232.7	1707
HU	Q2	570	566.9	918	1140	1136.9	1710
HU	Q3	582	659.4	1130.8	1223	1241.4	1805
HU	Q4	572	688.8	1331.8	1462	1260.8	2034
HU	Q5	564	546.7	855.6	1043	1110.7	1607
IT	Q1	582	639.1	1068	1145	1221.1	1727
IT	Q2	570	618	965.4	996	1188	1566
IT	Q3	582	644.8	1004	1204	1226.8	1786
IT	Q4	572	719.6	1221.8	1244	1291.6	1816
IT	Q5	562	617.6	1033.6	1057	1179.6	1619
LT	Q1	582	721	1434.4	1513	1303	2095
LT	Q2	569	623.3	1061	1172	1192.3	1741
LT	Q3	579	649.3	1082.4	1241	1228.3	1820
LT	Q4	567	670.9	1238.8	1411	1237.9	1978
LT	Q5	562	674	1291.2	1482	1236	2044
LV	Q1	580	671.6	1066.4	1082	1251.6	1662
LV	Q2	569	612.1	1061.6	1188	1181.1	1757
LV	Q3	578	627.6	992.4	1014	1205.6	1592
LV	Q4	568	618.3	1016.6	1202	1186.3	1770
LV	Q5	562	613	893.6	1035	1175	1597
MT	Q1	584	724.1	1044	1152	1308.1	1736
MT	Q2	568	690.6	1010.6	1124	1258.6	1692
MT	Q3	582	828.5	1226	1244	1410.5	1826
MT	Q4	569	722.6	1216.4	1292	1291.6	1861
MT	Q5	567	648.2	1226	1262	1215.2	1829
NL	Q1	585	647.4	1005.4	1108	1232.4	1693
NL	Q2	569	583.9	879.2	914	1152.9	1483
NL	Q3	584	636.6	1003.6	1102	1220.6	1686
NL	Q4	569	627	1093.8	1182	1196	1751
NL	Q5	560	574.4	895.2	909	1134.4	1469
PL	Q1	580	637.5	999.6	1086	1217.5	1666
PL	Q2	566	674.7	1208	1256	1240.7	1822
PL	Q3	584	582.3	973	983	1166.3	1567
PL	Q4	567	627.6	1199	1210	1194.6	1777
PL	Q5	567	578.3	970	988	1145.3	1555
PT	Q1	587	675	1076	1217	1262	1804
PT	Q2	567	563.8	855.2	956	1130.8	1523
PT	Q3	582	659.3	1094	1197	1241.3	1779
PT	Q4	574	621.9	984.8	1356	1195.9	1930
PT	Q5	564	603.4	922.4	1001	1167.4	1565
RO	Q1	584	625.3	1009.4	1202	1209.3	1786
RO	Q2	567	571	860	971	1138	1538
RO	Q3	583	660.8	1021.6	1156	1243.8	1739
RO	Q4	569	553.5	884	1022	1122.5	1591
RO	Q5	564	574.7	900	934	1138.7	1498
SK	Q1	578	559.3	961.2	1059	1137.3	1637
SK	Q2	569	556.7	856.4	902	1125.7	1471
SK	Q3	579	631	1029.6	1146	1210	1725
SK	Q4	570	638.8	1175.8	1270	1208.8	1840
SK	Q5	565	596.8	1036	1141	1161.8	1706
SL	Q1	578	655.5	1302.4	1726	1233.5	2304
SL	Q2	568	585	1037.8	1444	1153	2012
SL	Q3	580	701.6	1209.6	1398	1281.6	1978
SL	Q4	565	660.7	1230.4	1780	1225.7	2345
SL	Q5	564	574	952.2	1330	1138	1894
SV	Q1	585	630.6	1071.4	1141	1215.6	1726
SV	Q2	567	685.8	1258.8	1503	1252.8	2070
SV	Q3	579	627	1009.6	1030	1206	1609
SV	Q4	567	606.4	1109.4	1518	1173.4	2085
SV	Q5	564	544	1038	1341	1108	1905
