id	model_name	language	question_id	run_number	question_chars	context_chars	prompt_chars	response_chars	input_tokens_est_min	input_tokens_est_max	input_tokens_est_mid	response_tokens_est_min	response_tokens_est_max	response_tokens_est_mid	total_tokens_est_min	total_tokens_est_max	total_tokens_est_mid	max_model_len	max_model_len_source	remaining_output_tokens_est_min	remaining_output_tokens_est_max	effective_output_cap_est_min	effective_output_cap_est_max	would_exceed_max_len_est	base_question
43	qwen3-30b-a3b-instruct-awq-b200	CS	Q5_CS	1	100	1824	2497	1926	500	625	562	386	482	434	886	1107	996	16384	assumed_from_config_default	15759	15884	2048	2048	FALSE	Q5
44	qwen3-30b-a3b-instruct-awq-b200	CS	Q5_CS	2	100	1824	2497	1367	500	625	562	274	342	308	774	967	870	16384	assumed_from_config_default	15759	15884	2048	2048	FALSE	Q5
45	qwen3-30b-a3b-instruct-awq-b200	CS	Q5_CS	3	100	1824	2497	1387	500	625	562	278	347	312	778	972	874	16384	assumed_from_config_default	15759	15884	2048	2048	FALSE	Q5
46	qwen3-30b-a3b-instruct-awq-b200	DA	Q1_DA	1	134	1887	2594	1883	519	649	584	377	471	424	896	1120	1008	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q1
47	qwen3-30b-a3b-instruct-awq-b200	DA	Q1_DA	2	134	1887	2594	2016	519	649	584	404	504	454	923	1153	1038	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q1
48	qwen3-30b-a3b-instruct-awq-b200	DA	Q1_DA	3	134	1887	2594	2051	519	649	584	411	513	462	930	1162	1046	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q1
49	qwen3-30b-a3b-instruct-awq-b200	DA	Q2_DA	1	93	1862	2528	1808	506	632	569	362	452	407	868	1084	976	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
50	qwen3-30b-a3b-instruct-awq-b200	DA	Q2_DA	2	93	1862	2528	1808	506	632	569	362	452	407	868	1084	976	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
51	qwen3-30b-a3b-instruct-awq-b200	DA	Q2_DA	3	93	1862	2528	1808	506	632	569	362	452	407	868	1084	976	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
52	qwen3-30b-a3b-instruct-awq-b200	DA	Q3_DA	1	98	1901	2572	1606	515	643	579	322	402	362	837	1045	941	16384	assumed_from_config_default	15741	15869	2048	2048	FALSE	Q3
53	qwen3-30b-a3b-instruct-awq-b200	DA	Q3_DA	2	98	1901	2572	1714	515	643	579	343	429	386	858	1072	965	16384	assumed_from_config_default	15741	15869	2048	2048	FALSE	Q3
54	qwen3-30b-a3b-instruct-awq-b200	DA	Q3_DA	3	98	1901	2572	1709	515	643	579	342	428	385	857	1071	964	16384	assumed_from_config_default	15741	15869	2048	2048	FALSE	Q3
55	qwen3-30b-a3b-instruct-awq-b200	DA	Q4_DA	1	106	1843	2522	1715	505	631	568	343	429	386	848	1060	954	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
56	qwen3-30b-a3b-instruct-awq-b200	DA	Q4_DA	2	106	1843	2522	1730	505	631	568	346	433	390	851	1064	958	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
57	qwen3-30b-a3b-instruct-awq-b200	DA	Q4_DA	3	106	1843	2522	1726	505	631	568	346	432	389	851	1063	957	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
58	qwen3-30b-a3b-instruct-awq-b200	DA	Q5_DA	1	107	1824	2504	1339	501	626	564	268	335	302	769	961	866	16384	assumed_from_config_default	15758	15883	2048	2048	FALSE	Q5
59	qwen3-30b-a3b-instruct-awq-b200	DA	Q5_DA	2	107	1824	2504	1335	501	626	564	267	334	300	768	960	864	16384	assumed_from_config_default	15758	15883	2048	2048	FALSE	Q5
60	qwen3-30b-a3b-instruct-awq-b200	DA	Q5_DA	3	107	1824	2504	1343	501	626	564	269	336	302	770	962	866	16384	assumed_from_config_default	15758	15883	2048	2048	FALSE	Q5
61	qwen3-30b-a3b-instruct-awq-b200	NL	Q1_NL	1	139	1887	2599	2311	520	650	585	463	578	520	983	1228	1105	16384	assumed_from_config_default	15734	15864	2048	2048	FALSE	Q1
62	qwen3-30b-a3b-instruct-awq-b200	NL	Q1_NL	2	139	1887	2599	2409	520	650	585	482	603	542	1002	1253	1127	16384	assumed_from_config_default	15734	15864	2048	2048	FALSE	Q1
63	qwen3-30b-a3b-instruct-awq-b200	NL	Q1_NL	3	139	1887	2599	2202	520	650	585	441	551	496	961	1201	1081	16384	assumed_from_config_default	15734	15864	2048	2048	FALSE	Q1
64	qwen3-30b-a3b-instruct-awq-b200	NL	Q2_NL	1	92	1862	2527	1808	506	632	569	362	452	407	868	1084	976	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
65	qwen3-30b-a3b-instruct-awq-b200	NL	Q2_NL	2	92	1862	2527	1778	506	632	569	356	445	400	862	1077	969	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
66	qwen3-30b-a3b-instruct-awq-b200	NL	Q2_NL	3	92	1862	2527	1778	506	632	569	356	445	400	862	1077	969	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q2
67	qwen3-30b-a3b-instruct-awq-b200	NL	Q3_NL	1	120	1901	2594	2398	519	649	584	480	600	540	999	1249	1124	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q3
68	qwen3-30b-a3b-instruct-awq-b200	NL	Q3_NL	2	120	1901	2594	2215	519	649	584	443	554	498	962	1203	1082	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q3
69	qwen3-30b-a3b-instruct-awq-b200	NL	Q3_NL	3	120	1901	2594	1537	519	649	584	308	385	346	827	1034	930	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q3
70	qwen3-30b-a3b-instruct-awq-b200	NL	Q4_NL	1	111	1843	2527	1871	506	632	569	375	468	422	881	1100	991	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q4
71	qwen3-30b-a3b-instruct-awq-b200	NL	Q4_NL	2	111	1843	2527	1593	506	632	569	319	399	359	825	1031	928	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q4
72	qwen3-30b-a3b-instruct-awq-b200	NL	Q4_NL	3	111	1843	2527	1885	506	632	569	377	472	424	883	1104	993	16384	assumed_from_config_default	15752	15878	2048	2048	FALSE	Q4
73	qwen3-30b-a3b-instruct-awq-b200	NL	Q5_NL	1	92	1824	2489	2089	498	623	560	418	523	470	916	1146	1030	16384	assumed_from_config_default	15761	15886	2048	2048	FALSE	Q5
74	qwen3-30b-a3b-instruct-awq-b200	NL	Q5_NL	2	92	1824	2489	2021	498	623	560	405	506	456	903	1129	1016	16384	assumed_from_config_default	15761	15886	2048	2048	FALSE	Q5
75	qwen3-30b-a3b-instruct-awq-b200	NL	Q5_NL	3	92	1824	2489	2017	498	623	560	404	505	454	902	1128	1014	16384	assumed_from_config_default	15761	15886	2048	2048	FALSE	Q5
76	qwen3-30b-a3b-instruct-awq-b200	EN	Q1_EN	1	126	1887	2586	2110	518	647	582	422	528	475	940	1175	1057	16384	assumed_from_config_default	15737	15866	2048	2048	FALSE	Q1
77	qwen3-30b-a3b-instruct-awq-b200	EN	Q1_EN	2	126	1887	2586	2231	518	647	582	447	558	502	965	1205	1084	16384	assumed_from_config_default	15737	15866	2048	2048	FALSE	Q1
78	qwen3-30b-a3b-instruct-awq-b200	EN	Q1_EN	3	126	1887	2586	2231	518	647	582	447	558	502	965	1205	1084	16384	assumed_from_config_default	15737	15866	2048	2048	FALSE	Q1
79	qwen3-30b-a3b-instruct-awq-b200	EN	Q2_EN	1	77	1862	2512	1781	503	628	566	357	446	402	860	1074	968	16384	assumed_from_config_default	15756	15881	2048	2048	FALSE	Q2
80	qwen3-30b-a3b-instruct-awq-b200	EN	Q2_EN	2	77	1862	2512	1835	503	628	566	367	459	413	870	1087	979	16384	assumed_from_config_default	15756	15881	2048	2048	FALSE	Q2
81	qwen3-30b-a3b-instruct-awq-b200	EN	Q2_EN	3	77	1862	2512	1810	503	628	566	362	453	408	865	1081	974	16384	assumed_from_config_default	15756	15881	2048	2048	FALSE	Q2
82	qwen3-30b-a3b-instruct-awq-b200	EN	Q3_EN	1	101	1901	2575	2120	515	644	580	424	530	477	939	1174	1057	16384	assumed_from_config_default	15740	15869	2048	2048	FALSE	Q3
83	qwen3-30b-a3b-instruct-awq-b200	EN	Q3_EN	2	101	1901	2575	2125	515	644	580	425	532	478	940	1176	1058	16384	assumed_from_config_default	15740	15869	2048	2048	FALSE	Q3
84	qwen3-30b-a3b-instruct-awq-b200	EN	Q3_EN	3	101	1901	2575	2120	515	644	580	424	530	477	939	1174	1057	16384	assumed_from_config_default	15740	15869	2048	2048	FALSE	Q3
85	qwen3-30b-a3b-instruct-awq-b200	EN	Q4_EN	1	95	1843	2511	2026	503	628	566	406	507	456	909	1135	1022	16384	assumed_from_config_default	15756	15881	2048	2048	FALSE	Q4
86	qwen3-30b-a3b-instruct-awq-b200	EN	Q4_EN	2	95	1843	2511	2101	503	628	566	421	526	474	924	1154	1040	16384	assumed_from_config_default	15756	15881	2048	2048	FALSE	Q4
87	qwen3-30b-a3b-instruct-awq-b200	EN	Q4_EN	3	95	1843	2511	2101	503	628	566	421	526	474	924	1154	1040	16384	assumed_from_config_default	15756	15881	2048	2048	FALSE	Q4
88	qwen3-30b-a3b-instruct-awq-b200	EN	Q5_EN	1	88	1824	2485	2038	497	622	560	408	510	459	905	1132	1019	16384	assumed_from_config_default	15762	15887	2048	2048	FALSE	Q5
89	qwen3-30b-a3b-instruct-awq-b200	EN	Q5_EN	2	88	1824	2485	2351	497	622	560	471	588	530	968	1210	1090	16384	assumed_from_config_default	15762	15887	2048	2048	FALSE	Q5
90	qwen3-30b-a3b-instruct-awq-b200	EN	Q5_EN	3	88	1824	2485	1688	497	622	560	338	422	380	835	1044	940	16384	assumed_from_config_default	15762	15887	2048	2048	FALSE	Q5
91	qwen3-30b-a3b-instruct-awq-b200	ET	Q1_ET	1	124	1887	2584	2126	517	646	582	426	532	479	943	1178	1061	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q1
92	qwen3-30b-a3b-instruct-awq-b200	ET	Q1_ET	2	124	1887	2584	1947	517	646	582	390	487	438	907	1133	1020	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q1
93	qwen3-30b-a3b-instruct-awq-b200	ET	Q1_ET	3	124	1887	2584	1647	517	646	582	330	412	371	847	1058	953	16384	assumed_from_config_default	15738	15867	2048	2048	FALSE	Q1
94	qwen3-30b-a3b-instruct-awq-b200	ET	Q2_ET	1	96	1862	2531	4240	507	633	570	848	1060	954	1355	1693	1524	16384	assumed_from_config_default	15751	15877	2048	2048	FALSE	Q2
95	qwen3-30b-a3b-instruct-awq-b200	ET	Q2_ET	2	96	1862	2531	1514	507	633	570	303	379	341	810	1012	911	16384	assumed_from_config_default	15751	15877	2048	2048	FALSE	Q2
96	qwen3-30b-a3b-instruct-awq-b200	ET	Q2_ET	3	96	1862	2531	1516	507	633	570	304	379	342	811	1012	912	16384	assumed_from_config_default	15751	15877	2048	2048	FALSE	Q2
97	qwen3-30b-a3b-instruct-awq-b200	ET	Q3_ET	1	81	1901	2555	3119	511	639	575	624	780	702	1135	1419	1277	16384	assumed_from_config_default	15745	15873	2048	2048	FALSE	Q3
98	qwen3-30b-a3b-instruct-awq-b200	ET	Q3_ET	2	81	1901	2555	3119	511	639	575	624	780	702	1135	1419	1277	16384	assumed_from_config_default	15745	15873	2048	2048	FALSE	Q3
99	qwen3-30b-a3b-instruct-awq-b200	ET	Q3_ET	3	81	1901	2555	3119	511	639	575	624	780	702	1135	1419	1277	16384	assumed_from_config_default	15745	15873	2048	2048	FALSE	Q3
100	qwen3-30b-a3b-instruct-awq-b200	ET	Q4_ET	1	105	1843	2521	1662	505	631	568	333	416	374	838	1047	942	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
101	qwen3-30b-a3b-instruct-awq-b200	ET	Q4_ET	2	105	1843	2521	5236	505	631	568	1048	1309	1178	1553	1940	1746	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
102	qwen3-30b-a3b-instruct-awq-b200	ET	Q4_ET	3	105	1843	2521	5230	505	631	568	1046	1308	1177	1551	1939	1745	16384	assumed_from_config_default	15753	15879	2048	2048	FALSE	Q4
103	qwen3-30b-a3b-instruct-awq-b200	ET	Q5_ET	1	93	1824	2490	1456	498	623	560	292	364	328	790	987	888	16384	assumed_from_config_default	15761	15886	2048	2048	FALSE	Q5
104	qwen3-30b-a3b-instruct-awq-b200	ET	Q5_ET	2	93	1824	2490	3806	498	623	560	762	952	857	1260	1575	1417	16384	assumed_from_config_default	15761	15886	2048	2048	FALSE	Q5
105	qwen3-30b-a3b-instruct-awq-b200	ET	Q5_ET	3	93	1824	2490	1206	498	623	560	242	302	272	740	925	832	16384	assumed_from_config_default	15761	15886	2048	2048	FALSE	Q5
106	qwen3-30b-a3b-instruct-awq-b200	FI	Q1_FI	1	133	1887	2593	2365	519	649	584	473	592	532	992	1241	1116	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q1
107	qwen3-30b-a3b-instruct-awq-b200	FI	Q1_FI	2	133	1887	2593	1808	519	649	584	362	452	407	881	1101	991	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q1
108	qwen3-30b-a3b-instruct-awq-b200	FI	Q1_FI	3	133	1887	2593	2421	519	649	584	485	606	546	1004	1255	1130	16384	assumed_from_config_default	15735	15865	2048	2048	FALSE	Q1
109	qwen3-30b-a3b-instruct-awq-b200	FI	Q2_FI	1	100	1862	2535	2183	507	634	570	437	546	492	944	1180	1062	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
110	qwen3-30b-a3b-instruct-awq-b200	FI	Q2_FI	2	100	1862	2535	2193	507	634	570	439	549	494	946	1183	1064	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
111	qwen3-30b-a3b-instruct-awq-b200	FI	Q2_FI	3	100	1862	2535	1500	507	634	570	300	375	338	807	1009	908	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
112	qwen3-30b-a3b-instruct-awq-b200	FI	Q3_FI	1	94	1901	2568	2370	514	642	578	474	593	534	988	1235	1112	16384	assumed_from_config_default	15742	15870	2048	2048	FALSE	Q3
113	qwen3-30b-a3b-instruct-awq-b200	FI	Q3_FI	2	94	1901	2568	2253	514	642	578	451	564	508	965	1206	1086	16384	assumed_from_config_default	15742	15870	2048	2048	FALSE	Q3
114	qwen3-30b-a3b-instruct-awq-b200	FI	Q3_FI	3	94	1901	2568	1889	514	642	578	378	473	426	892	1115	1004	16384	assumed_from_config_default	15742	15870	2048	2048	FALSE	Q3
115	qwen3-30b-a3b-instruct-awq-b200	FI	Q4_FI	1	101	1843	2517	1597	504	630	567	320	400	360	824	1030	927	16384	assumed_from_config_default	15754	15880	2048	2048	FALSE	Q4
116	qwen3-30b-a3b-instruct-awq-b200	FI	Q4_FI	2	101	1843	2517	1845	504	630	567	369	462	416	873	1092	983	16384	assumed_from_config_default	15754	15880	2048	2048	FALSE	Q4
117	qwen3-30b-a3b-instruct-awq-b200	FI	Q4_FI	3	101	1843	2517	1725	504	630	567	345	432	388	849	1062	955	16384	assumed_from_config_default	15754	15880	2048	2048	FALSE	Q4
118	qwen3-30b-a3b-instruct-awq-b200	FI	Q5_FI	1	91	1824	2488	3629	498	622	560	726	908	817	1224	1530	1377	16384	assumed_from_config_default	15762	15886	2048	2048	FALSE	Q5
119	qwen3-30b-a3b-instruct-awq-b200	FI	Q5_FI	2	91	1824	2488	2083	498	622	560	417	521	469	915	1143	1029	16384	assumed_from_config_default	15762	15886	2048	2048	FALSE	Q5
120	qwen3-30b-a3b-instruct-awq-b200	FI	Q5_FI	3	91	1824	2488	2192	498	622	560	439	548	494	937	1170	1054	16384	assumed_from_config_default	15762	15886	2048	2048	FALSE	Q5
121	qwen3-30b-a3b-instruct-awq-b200	FR	Q1_FR	1	159	1887	2619	1702	524	655	590	341	426	384	865	1081	974	16384	assumed_from_config_default	15729	15860	2048	2048	FALSE	Q1
122	qwen3-30b-a3b-instruct-awq-b200	FR	Q1_FR	2	159	1887	2619	1707	524	655	590	342	427	384	866	1082	974	16384	assumed_from_config_default	15729	15860	2048	2048	FALSE	Q1
123	qwen3-30b-a3b-instruct-awq-b200	FR	Q1_FR	3	159	1887	2619	1797	524	655	590	360	450	405	884	1105	995	16384	assumed_from_config_default	15729	15860	2048	2048	FALSE	Q1
124	qwen3-30b-a3b-instruct-awq-b200	FR	Q2_FR	1	99	1862	2534	1914	507	634	570	383	479	431	890	1113	1001	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
125	qwen3-30b-a3b-instruct-awq-b200	FR	Q2_FR	2	99	1862	2534	1882	507	634	570	377	471	424	884	1105	994	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
126	qwen3-30b-a3b-instruct-awq-b200	FR	Q2_FR	3	99	1862	2534	1882	507	634	570	377	471	424	884	1105	994	16384	assumed_from_config_default	15750	15877	2048	2048	FALSE	Q2
127	qwen3-30b-a3b-instruct-awq-b200	FR	Q3_FR	1	127	1901	2601	1785	521	651	586	357	447	402	878	1098	988	16384	assumed_from_config_default	15733	15863	2048	2048	FALSE	Q3
128	qwen3-30b-a3b-instruct-awq-b200	FR	Q3_FR	2	127	1901	2601	1663	521	651	586	333	416	374	854	1067	960	16384	assumed_from_config_default	15733	15863	2048	2048	FALSE	Q3
129	qwen3-30b-a3b-instruct-awq-b200	FR	Q3_FR	3	127	1901	2601	1625	521	651	586	325	407	366	846	1058	952	16384	assumed_from_config_default	15733	15863	2048	2048	FALSE	Q3
130	qwen3-30b-a3b-instruct-awq-b200	FR	Q4_FR	1	125	1843	2541	2352	509	636	572	471	588	530	980	1224	1102	16384	assumed_from_config_default	15748	15875	2048	2048	FALSE	Q4
131	qwen3-30b-a3b-instruct-awq-b200	FR	Q4_FR	2	125	1843	2541	1924	509	636	572	385	481	433	894	1117	1005	16384	assumed_from_config_default	15748	15875	2048	2048	FALSE	Q4
132	qwen3-30b-a3b-instruct-awq-b200	FR	Q4_FR	3	125	1843	2541	1924	509	636	572	385	481	433	894	1117	1005	16384	assumed_from_config_default	15748	15875	2048	2048	FALSE	Q4
133	qwen3-30b-a3b-instruct-awq-b200	FR	Q5_FR	1	112	1824	2509	1760	502	628	565	352	440	396	854	1068	961	16384	assumed_from_config_default	15756	15882	2048	2048	FALSE	Q5
134	qwen3-30b-a3b-instruct-awq-b200	FR	Q5_FR	2	112	1824	2509	1667	502	628	565	334	417	376	836	1045	941	16384	assumed_from_config_default	15756	15882	2048	2048	FALSE	Q5
135	qwen3-30b-a3b-instruct-awq-b200	FR	Q5_FR	3	112	1824	2509	1941	502	628	565	389	486	438	891	1114	1003	16384	assumed_from_config_default	15756	15882	2048	2048	FALSE	Q5
